maker_fee_bps,accuracy,n_cells_alive,n_cells_alive_with_fill_proxy,top_5_cells_by_median_headroom
-2,0.55,288,288,"XPL:$1k:H500(+14.08bp), XPL:$10k:H500(+14.08bp), PUMP:$1k:H500(+14.05bp), PUMP:$10k:H500(+14.05bp), FARTCOIN:$1k:H500(+14.02bp)"
-1,0.55,288,288,"XPL:$1k:H500(+12.08bp), XPL:$10k:H500(+12.08bp), PUMP:$1k:H500(+12.05bp), PUMP:$10k:H500(+12.05bp), FARTCOIN:$1k:H500(+12.02bp)"
0,0.55,288,288,"XPL:$1k:H500(+10.08bp), XPL:$10k:H500(+10.08bp), PUMP:$1k:H500(+10.05bp), PUMP:$10k:H500(+10.05bp), FARTCOIN:$1k:H500(+10.02bp)"
1,0.55,131,131,"XPL:$1k:H500(+8.08bp), XPL:$10k:H500(+8.08bp), PUMP:$1k:H500(+8.05bp), PUMP:$10k:H500(+8.05bp), FARTCOIN:$1k:H500(+8.02bp)"
2,0.55,53,53,"XPL:$1k:H500(+6.08bp), XPL:$10k:H500(+6.08bp), PUMP:$1k:H500(+6.05bp), PUMP:$10k:H500(+6.05bp), FARTCOIN:$1k:H500(+6.02bp)"
3,0.55,17,17,"XPL:$1k:H500(+4.08bp), XPL:$10k:H500(+4.08bp), PUMP:$1k:H500(+4.05bp), PUMP:$10k:H500(+4.05bp), FARTCOIN:$1k:H500(+4.02bp)"
4,0.55,8,8,"XPL:$1k:H500(+2.08bp), XPL:$10k:H500(+2.08bp), PUMP:$1k:H500(+2.05bp), PUMP:$10k:H500(+2.05bp), FARTCOIN:$1k:H500(+2.02bp)"
5,0.55,0,0,
6,0.55,0,0,
-2,0.575,288,288,"XPL:$1k:H500(+19.12bp), XPL:$10k:H500(+19.12bp), PUMP:$1k:H500(+19.08bp), PUMP:$10k:H500(+19.08bp), FARTCOIN:$1k:H500(+19.04bp)"
-1,0.575,288,288,"XPL:$1k:H500(+17.12bp), XPL:$10k:H500(+17.12bp), PUMP:$1k:H500(+17.08bp), PUMP:$10k:H500(+17.08bp), FARTCOIN:$1k:H500(+17.04bp)"
0,0.575,288,288,"XPL:$1k:H500(+15.12bp), XPL:$10k:H500(+15.12bp), PUMP:$1k:H500(+15.08bp), PUMP:$10k:H500(+15.08bp), FARTCOIN:$1k:H500(+15.04bp)"
1,0.575,188,188,"XPL:$1k:H500(+13.12bp), XPL:$10k:H500(+13.12bp), PUMP:$1k:H500(+13.08bp), PUMP:$10k:H500(+13.08bp), FARTCOIN:$1k:H500(+13.04bp)"
2,0.575,94,94,"XPL:$1k:H500(+11.12bp), XPL:$10k:H500(+11.12bp), PUMP:$1k:H500(+11.08bp), PUMP:$10k:H500(+11.08bp), FARTCOIN:$1k:H500(+11.04bp)"
3,0.575,53,53,"XPL:$1k:H500(+9.12bp), XPL:$10k:H500(+9.12bp), PUMP:$1k:H500(+9.08bp), PUMP:$10k:H500(+9.08bp), FARTCOIN:$1k:H500(+9.04bp)"
4,0.575,29,29,"XPL:$1k:H500(+7.12bp), XPL:$10k:H500(+7.12bp), PUMP:$1k:H500(+7.08bp), PUMP:$10k:H500(+7.08bp), FARTCOIN:$1k:H500(+7.04bp)"
5,0.575,15,15,"XPL:$1k:H500(+5.12bp), XPL:$10k:H500(+5.12bp), PUMP:$1k:H500(+5.08bp), PUMP:$10k:H500(+5.08bp), FARTCOIN:$1k:H500(+5.04bp)"
6,0.575,8,8,"XPL:$1k:H500(+3.12bp), XPL:$10k:H500(+3.12bp), PUMP:$1k:H500(+3.08bp), PUMP:$10k:H500(+3.08bp), FARTCOIN:$1k:H500(+3.04bp)"
-2,0.6,288,288,"XPL:$1k:H500(+24.16bp), XPL:$10k:H500(+24.16bp), PUMP:$1k:H500(+24.10bp), PUMP:$10k:H500(+24.10bp), FARTCOIN:$1k:H500(+24.05bp)"
-1,0.6,288,288,"XPL:$1k:H500(+22.16bp), XPL:$10k:H500(+22.16bp), PUMP:$1k:H500(+22.10bp), PUMP:$10k:H500(+22.10bp), FARTCOIN:$1k:H500(+22.05bp)"
0,0.6,288,288,"XPL:$1k:H500(+20.16bp), XPL:$10k:H500(+20.16bp), PUMP:$1k:H500(+20.10bp), PUMP:$10k:H500(+20.10bp), FARTCOIN:$1k:H500(+20.05bp)"
1,0.6,216,216,"XPL:$1k:H500(+18.16bp), XPL:$10k:H500(+18.16bp), PUMP:$1k:H500(+18.10bp), PUMP:$10k:H500(+18.10bp), FARTCOIN:$1k:H500(+18.05bp)"
2,0.6,131,131,"XPL:$1k:H500(+16.16bp), XPL:$10k:H500(+16.16bp), PUMP:$1k:H500(+16.10bp), PUMP:$10k:H500(+16.10bp), FARTCOIN:$1k:H500(+16.05bp)"
3,0.6,80,80,"XPL:$1k:H500(+14.16bp), XPL:$10k:H500(+14.16bp), PUMP:$1k:H500(+14.10bp), PUMP:$10k:H500(+14.10bp), FARTCOIN:$1k:H500(+14.05bp)"
4,0.6,53,53,"XPL:$1k:H500(+12.16bp), XPL:$10k:H500(+12.16bp), PUMP:$1k:H500(+12.10bp), PUMP:$10k:H500(+12.10bp), FARTCOIN:$1k:H500(+12.05bp)"
5,0.6,40,40,"XPL:$1k:H500(+10.16bp), XPL:$10k:H500(+10.16bp), PUMP:$1k:H500(+10.10bp), PUMP:$10k:H500(+10.10bp), FARTCOIN:$1k:H500(+10.05bp)"
6,0.6,17,17,"XPL:$1k:H500(+8.16bp), XPL:$10k:H500(+8.16bp), PUMP:$1k:H500(+8.10bp), PUMP:$10k:H500(+8.10bp), FARTCOIN:$1k:H500(+8.05bp)"
